20001212X22197,LAX01LA021,-37.513888888888886,-122.50111111111111,NONE,N,N5226K,HAF ,HAF 
20001212X22202,LAX01LA029,-34.79388888888889,-118.85222222222221,NONE,N,N16503,WJF ,VUO 
20001212X22207,MIA01FA021,-27.459722222222222,-81.81277777777777,NONE,N,N8603E,BOW ,FD06
20001212X22227,NYC01FA005,-41.41111111111111,-70.41666666666667,IFR ,Y,N60BT,TTN ,MVY 
20001212X22228,NYC01FA007,-35.585,-83.4088888888889,NONE,N,N2067C,I23 ,ILN 
20001212X22283,FTW01FA020,-31.78527777777778,-92.16805555555555,NONE,N,N6232E,2LA7,NONE
20001212X22298,LAX01FA049,-32.96083333333333,-109.22555555555556,NONE,N,N7901R,SOW ,CFT 
20001212X22305,LAX01LA041,-33.525,-117.08333333333333,NONE,N,N41AL,CNO ,
20001212X22309,LAX01LA045,-31.228888888888886,-121.37416666666665,NONE,N,N540AK,3O1 ,RHV 
20001212X22313,MIA01FA028,-27.435,-82.45,VFIF,Y,USAF,VAD ,VAD 
20001212X22314,MIA01FA029,-25.815,-80.29666666666667,IFR ,Y,N14056,MIA ,MTPP
20001212X22336,SEA01FA017,-43.53638888888889,-112.06305555555555,NONE,N,N41054,IDA ,
20001213X27446,LAX89LA068,-38.54,-173.23999999999998,IFR ,,N146UA,NRT ,SFO 
20001215X45419,IAD01FA015,-37.333333333333336,-79.2,NONE,N,N94U,LYH ,
20001215X45421,IAD01LA014,-39.0625,-78.0911111111111,NONE,N,N8181L,OKV ,3VA7
20001215X45429,NYC01LA050,-39.48527777777778,-79.68527777777778,NONE,N,N97MS,WV29,WV29
20001218X45439,LAX01GA057,-34.72666666666667,-118.23583333333333,NONE,N,N182ER,FAT ,WJF 
20001226X45488,IAD01LA020,-39.93416666666666,-74.80722222222222,NONE,N,N789FW,N14 ,
20010104X00011,SEA01FA032,-46.363055555555555,-115.31638888888888,CVFR,N,N9186F,,
20010104X00012,MIA01LA052,-35.82472222222223,-81.6111111111111,NONE,N,N143F,NC27,MRN 
20010104X00014,DEN01LA035,-40.16361111111111,-105.16305555555556,NONE,N,N9058G,2V2 ,
20010105X00029,DEN01FA033,-35.03861111111111,-106.60388888888889,NONE,N,N2174L,TUL ,ABQ 
20010105X00031,FTW01FA043,-29.4325,-94.54305555555555,CVFR,Y,N407MM,NONE,GLS 
20010105X00048,NYC01LA059,-40.35416666666667,-79.92500000000001,NONE,N,N89SM,AGC ,
20010105X00049,SEA01LA031,-47.718333333333334,-122.19833333333334,NONE,N,N2502,PAE ,RNT 
20010108X00062,FTW01LA045,-35.14472222222222,-96.42527777777778,VFR ,Y,N68472,SNL ,3F7 
20010108X00063,NYC01FA062,-40.63194444444444,-73.77944444444444,IFR ,Y,N769NC,JFK ,DTW 
20010109X00068,MIA01LA056,-30.07111111111111,-83.58222222222221,NONE,N,N40030,,
20010109X00069,NYC01FA058,-44.88333333333333,-70.6388888888889,IFR ,Y,N30EM,PWM ,8B0 
20010109X00071,SEA01LA034,-45.81666666666667,-119.25,IFR ,N,N69058,MMV ,HRI 
20010110X00073,DEN01FA028,-42.785,-104.21722222222222,NONE,N,N4223F,CPR ,RAP 
20010110X00077,LAX01FA055,-38.27222222222222,-122.53416666666666,IFR ,Y,N739HB,APC ,O69 
20010110X00078,LAX01FA059,-38.69555555555555,-121.59083333333332,IFR ,N,N252SA,SAC ,SJC 
20010110X00079,MIA01FA041,-26.148611111111112,-80.635,NONE,N,N260DB,HWO ,
20010110X00082,MIA01LA054,-26.1525,-81.77555555555556,IFR ,N,N45CF,KAPF,KLOU
20010110X00083,ANC01FA026,-60.363055555555555,-152.61694444444444,VFR ,Y,N1419Z,5NN ,ENA 
20010110X00084,ANC01FAMS1,-58.358333333333334,-134.58277777777778,VFR ,Y,N7100C,JNU ,JNU 
20010110X00095,FTW01LA046,-30.0,-100.0,NONE,N,N45373,NONE,LBX 
20010110X00098,DEN01LA038,-41.30027777777777,-111.81694444444445,NONE,N,N26HV,OGD ,NONE
20010111X00287,FTW01FA048,-32.75805555555556,-98.08916666666666,CVFR,Y,N152AL,MWL ,
20010111X00289,NYC01LA063,-37.3575,-78.43777777777778,VFR ,Y,N73404,FVX ,CHO 
20010112X00292,IAD01FA021,-38.13333333333333,-78.45,IFR ,Y,N323UE,IAD ,CHO 
20010112X00293,FTW01RA035,13.67361111111111,-64.20138888888889,VFR ,N,,SLTR,
