date,time,borough,zipcode,latitude,longitude,location,on_street,cross_street,off_street,inj,kill,ped_inj,ped_kill,cyc_inj,cyc_kill,mot_inj,mot_kill,cf_veh1,cf_veh2,cf_veh3,cf_veh4,cf_veh5,uniquekey,vehcode1,vehcode2,vehcode3,vehcode4,vehcode5
2018-03-17,10:30:00,BROOKLYN,11224,40.579212,-73.976265,"(40.579212,-73.976265)",SHEEPSHEAD BAY ROAD             ,WEST 8 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3865333,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,10:30:00,BROOKLYN,11238,40.674664,-73.97025,"(40.674664,-73.97025)",,,10        GRAND ARMY PLAZA              ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3865353,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,10:30:00,MANHATTAN,10039,40.821636,-73.93909,"(40.821636,-73.93909)",WEST 145 STREET                 ,7 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3864483,PASSENGER VEHICLE,TK,,,
2018-03-17,10:30:00,,,,,,CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3864235,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,10:32:00,BROOKLYN,11223,40.59196,-73.9607,"(40.59196,-73.9607)",,,2653      CONEY ISLAND AVENUE           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3865327,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,10:45:00,QUEENS,11432,40.72162,-73.77672,"(40.72162,-73.77672)",188 STREET                      ,MCLAUGHLIN AVENUE,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3864311,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:00:00,MANHATTAN,10005,40.705936,-74.01029,"(40.705936,-74.01029)",,,40        EXCHANGE PLACE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3864356,TK,PASSENGER VEHICLE,,,
2018-03-17,11:00:00,STATEN ISLAND,10314,40.601856,-74.11791,"(40.601856,-74.11791)",OCEAN TERRACE                   ,BOGERT AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3864710,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:00:00,,,,,,LINDEN BLVD                     ,79 ST,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3865543,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,11:05:00,,,40.754658,-73.833115,"(40.754658,-73.833115)",COLLEGE POINT BOULEVARD         ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3864367,VN,TK,,,
2018-03-17,11:07:00,BROOKLYN,11209,40.622047,-74.03165,"(40.622047,-74.03165)",3 AVENUE                        ,88 STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3864317,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,11:15:00,,,40.83643,-73.87415,"(40.83643,-73.87415)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3864907,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:15:00,,,40.71769,-73.831406,"(40.71769,-73.831406)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3864615,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:15:00,BRONX,10475,40.886375,-73.82656,"(40.886375,-73.82656)",,,4138      BOSTON ROAD                   ,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,,,,3864464,BICYCLE,PASSENGER VEHICLE,,,
2018-03-17,11:29:00,,,40.66294,-73.89554,"(40.66294,-73.89554)",RIVERDALE AVENUE                ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3865544,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:30:00,MANHATTAN,10007,40.712723,-74.009674,"(40.712723,-74.009674)",BARCLAY STREET                  ,CHURCH STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3864485,TAXI,PASSENGER VEHICLE,,,
2018-03-17,11:30:00,MANHATTAN,10036,40.758736,-73.99241,"(40.758736,-73.99241)",,,590       9 AVENUE                      ,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,3864216,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:30:00,QUEENS,11422,40.683773,-73.728874,"(40.683773,-73.728874)",,,121-18    237 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864272,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,11:30:00,,,40.8514,-73.90606,"(40.8514,-73.90606)",CRESTON AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864808,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,11:30:00,,,,,,,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3864778,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:30:00,,,40.840836,-73.87258,"(40.840836,-73.87258)",BRONX RIVER PARKWAY             ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,3864250,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,
2018-03-17,11:34:00,BROOKLYN,11211,40.71489,-73.960884,"(40.71489,-73.960884)",BEDFORD AVENUE                  ,NORTH 1 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3864702,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,11:35:00,MANHATTAN,10025,40.79356,-73.96702,"(40.79356,-73.96702)",COLUMBUS AVENUE                 ,WEST 97 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3865252,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,11:40:00,,,,,,BAY PARKWAY                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3864267,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:45:00,BROOKLYN,11214,40.604767,-74.00763,"(40.604767,-74.00763)",BATH AVENUE                     ,BAY 16 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3864876,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,11:45:00,BROOKLYN,11235,40.578854,-73.963905,"(40.578854,-73.963905)",,,3002      BRIGHTON 4 STREET             ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3865329,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:47:00,BRONX,10474,40.818493,-73.88467,"(40.818493,-73.88467)",,,847       WHITTIER STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3864550,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,11:47:00,,,40.760494,-73.8614,"(40.760494,-73.8614)",108 STREET                      ,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3864784,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2018-03-17,11:50:00,QUEENS,11435,40.696167,-73.8045,"(40.696167,-73.8045)",LIBERTY AVENUE                  ,SUTPHIN BOULEVARD,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,3864293,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:50:00,,,40.593056,-73.77532,"(40.593056,-73.77532)",ROCKAWAY FREEWAY                ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3865712,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:51:00,,,40.66319,-73.93727,"(40.66319,-73.93727)",TROY AVENUE                     ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3864575,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:54:00,BRONX,10461,40.839783,-73.83703,"(40.839783,-73.83703)",EAST TREMONT AVENUE             ,ERICSON PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864807,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,11:59:00,BROOKLYN,11238,40.67983,-73.9583,"(40.67983,-73.9583)",ATLANTIC AVENUE                 ,CLASSON AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864591,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:00:00,BROOKLYN,11229,40.59942,-73.95114,"(40.59942,-73.95114)",,,2017      AVENUE U                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3865328,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:00:00,MANHATTAN,10001,40.746605,-73.99189,"(40.746605,-73.99189)",,,146       WEST 28 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3864902,CONV,BU,,,
2018-03-17,12:00:00,QUEENS,11104,40.74627,-73.9181,"(40.74627,-73.9181)",,,41-50     46 STREET                     ,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3864337,AR,PASSENGER VEHICLE,,,
2018-03-17,12:00:00,QUEENS,11367,40.71799,-73.81603,"(40.71799,-73.81603)",,,146-15    UNION TURNPIKE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3864312,SPORT UTILITY / STATION WAGON,,,,
2018-03-17,12:00:00,QUEENS,11372,40.756855,-73.872986,"(40.756855,-73.872986)",,,95-02     NORTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3864252,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2018-03-17,12:00:00,,,40.60461,-73.99826,"(40.60461,-73.99826)",20 AVENUE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3864268,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2018-03-17,12:00:00,,,40.70191,-73.829475,"(40.70191,-73.829475)",HILLSIDE AVENUE                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3865138,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
